Loaded 1500 points.
Start (25, 0, 50) (Loss:2.1751)
[1] New Best! L:2.1751 | Th:25.00 M:0.00000 X:50.00
[2] New Best! L:2.0196 | Th:25.00 M:0.00000 X:51.00
[3] New Best! L:1.9712 | Th:25.00 M:0.00000 X:52.00
[4] New Best! L:1.8253 | Th:26.00 M:0.00000 X:52.00
[5] New Best! L:1.8014 | Th:26.00 M:0.00000 X:53.00
[6] New Best! L:1.6660 | Th:27.00 M:0.00000 X:53.00
[7] New Best! L:1.6496 | Th:27.00 M:0.00100 X:53.00
[8] New Best! L:1.6327 | Th:27.00 M:0.00200 X:53.00
[9] New Best! L:1.6140 | Th:27.00 M:0.00300 X:53.00
[10] New Best! L:1.5947 | Th:27.00 M:0.00400 X:53.00
[11] New Best! L:1.5739 | Th:27.00 M:0.00500 X:53.00
[12] New Best! L:1.5521 | Th:27.00 M:0.00600 X:53.00
[13] New Best! L:1.5290 | Th:27.00 M:0.00700 X:53.00
[14] New Best! L:1.5044 | Th:27.00 M:0.00800 X:53.00
[15] New Best! L:1.4788 | Th:27.00 M:0.00900 X:53.00
[16] New Best! L:1.4524 | Th:27.00 M:0.01000 X:53.00
[17] New Best! L:1.4252 | Th:27.00 M:0.01100 X:53.00
[18] New Best! L:1.3974 | Th:27.00 M:0.01200 X:53.00
[19] New Best! L:1.3643 | Th:28.00 M:0.01200 X:53.00
[20] New Best! L:1.2163 | Th:28.00 M:0.01200 X:54.00
[21] New Best! L:1.1783 | Th:28.00 M:0.01300 X:54.00
[22] New Best! L:1.1389 | Th:28.00 M:0.01400 X:54.00
[23] New Best! L:1.0990 | Th:28.00 M:0.01500 X:54.00
[24] New Best! L:1.0583 | Th:28.00 M:0.01600 X:54.00
[25] New Best! L:1.0171 | Th:28.00 M:0.01700 X:54.00
[26] New Best! L:0.9704 | Th:29.00 M:0.01700 X:54.00
[27] New Best! L:0.9197 | Th:29.00 M:0.01800 X:54.00
[28] New Best! L:0.8685 | Th:29.00 M:0.01900 X:54.00
[29] New Best! L:0.8166 | Th:29.00 M:0.02000 X:54.00
[30] New Best! L:0.7641 | Th:29.00 M:0.02100 X:54.00
[31] New Best! L:0.7124 | Th:29.00 M:0.02200 X:54.00
[32] New Best! L:0.6617 | Th:29.00 M:0.02300 X:54.00
[33] New Best! L:0.6130 | Th:29.00 M:0.02400 X:54.00
[34] New Best! L:0.5670 | Th:29.00 M:0.02500 X:54.00
[35] New Best! L:0.5233 | Th:29.00 M:0.02600 X:54.00
[36] New Best! L:0.4864 | Th:29.00 M:0.02700 X:54.00
[37] New Best! L:0.4593 | Th:29.00 M:0.02800 X:54.00
[38] New Best! L:0.4463 | Th:29.00 M:0.02900 X:54.00
[43] New Best! L:0.2387 | Th:30.00 M:0.02700 X:55.00
[44] New Best! L:0.1627 | Th:30.00 M:0.02800 X:55.00
[45] New Best! L:0.0859 | Th:30.00 M:0.02900 X:55.00
[46] New Best! L:0.0146 | Th:30.00 M:0.03000 X:55.00

[!] Early stop. Best:0.0146
Done 56 iters.

--- Top 5 Results ---
Th:30.0000, M:0.03000, X:55.0000 | Loss:0.0146
Th:30.0000, M:0.03100, X:55.0000 | Loss:0.0858
Th:30.0000, M:0.02900, X:55.0000 | Loss:0.0859
Th:30.0000, M:0.03200, X:55.0000 | Loss:0.1614
Th:30.0000, M:0.02800, X:55.0000 | Loss:0.1627
Best Th:30.0000, M:0.03000, X:55.0000 | Loss:0.0146
